source_concept_id,source_uuid,target_concept_id,target_uuid,equivalence,policy_bucket,source_record_examples
90,be379fd5-1691-11df-97a5-7038c432aabf,4385,90AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
91,be37a1bd-1691-11df-97a5-7038c432aabf,4375,91AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
92,be37a39c-1691-11df-97a5-7038c432aabf,4364,92AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
93,be37b114-1691-11df-97a5-7038c432aabf,4354,93AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
94,be37b2f7-1691-11df-97a5-7038c432aabf,4344,94AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
95,be37b4df-1691-11df-97a5-7038c432aabf,4333,95AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
96,be37b6be-1691-11df-97a5-7038c432aabf,4323,96AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
97,be37b8a1-1691-11df-97a5-7038c432aabf,4313,97AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
98,be37ba80-1691-11df-97a5-7038c432aabf,4303,98AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
99,be37bc79-1691-11df-97a5-7038c432aabf,4294,99AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
100,be37be60-1691-11df-97a5-7038c432aabf,59267,100AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
101,be37c048-1691-11df-97a5-7038c432aabf,59250,101AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
102,be37c22b-1691-11df-97a5-7038c432aabf,3206,102AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
103,be37c62e-1691-11df-97a5-7038c432aabf,59224,103AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
104,be37c82b-1691-11df-97a5-7038c432aabf,58028,104AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
105,be37ca12-1691-11df-97a5-7038c432aabf,56374,105AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,equal,remap,
